ID,Lat,Lon,AverageAnom,scaledAvg
26180,33.9408,-117.1372,-0.23698279595454544,-23.698279595454544
26194,33.8528,-117.4542,-0.6411892055454544,-64.11892055454544
26323,33.6756,-116.6797,-0.49823068395454545,-49.82306839545455
26546,33.6506,-117.4131,-0.7343499183636364,-73.43499183636364
27593,26.1297,-81.7625,-0.5458674765909092,-54.58674765909092
27708,33.7814,-116.4575,-0.7032135164090906,-70.32135164090906
27876,26.5128,-80.9819,-0.3895329855,-38.95329855
28264,33.9722,-116.9117,-0.244283450909091,-24.4283450909091
28348,25.9898,-80.8362,-0.25465850504545445,-25.465850504545447
28409,26.0821,-80.6915,-0.817505337409091,-81.7505337409091
28820,26.2665,-80.7795,-0.4768644836363636,-47.68644836363636
28895,26.1915,-80.4492,-0.5216019200454545,-52.16019200454545
29271,35.3811,-120.1875,-0.5002901382272728,-50.02901382272727
29279,40.2569,-124.2661,-0.565949184,-56.594918400000005
29534,33.445,-117.4181,-0.28395070777272735,-28.395070777272736
30064,35.4333,-100.8,-0.1458480308636364,-14.58480308636364
30130,35.2642,-100.2414,-0.4617559275,-46.17559275
30136,29.5731,-99.4028,-0.23379570177272727,-23.379570177272726
30178,36.0313,-96.4975,-0.5015188507727274,-50.15188507727274
30220,31.0817,-98.0164,-0.36394651954545476,-36.39465195454547
30326,33.2933,-98.0786,-0.22577709977272734,-22.577709977272733
30458,29.8767,-100.8967,-0.2864566128181816,-28.645661281818157
30530,33.65,-99.8,-0.3693102308636364,-36.93102308636364
30616,31.3961,-94.1508,-0.3115529346818182,-31.15529346818182
30764,38.007,-122.64200000000001,-0.4020475292727273,-40.20475292727273
30832,38.247,-122.90299999999999,-0.11326797850000002,-11.326797850000002
30842,38.067,-122.8,-0.4830705066363637,-48.30705066363637
30900,37.995,-123.01700000000001,-0.3692259528181818,-36.92259528181818
30936,38.222,-122.633,-0.309650148090909,-30.965014809090903
31020,38.133,-122.74700000000001,-0.5459622922272728,-54.596229222727274
31140,38.0449,-122.6896,-0.3630285465,-36.30285465
31152,37.9,-122.6,-0.47700072181818187,-47.700072181818186
31457,37.896,-122.527,-0.362966023681818,-36.2966023681818
31582,37.94,-122.595,-0.49897075481818187,-49.897075481818185
31632,48.6547,-101.6145,-0.2471083682272728,-24.71083682272728
31834,29.8075,-94.2619,-0.3805393900909092,-38.05393900909092
31952,29.9478,-94.4003,0.2121622314090909,21.21622314090909
32020,29.9453,-94.3261,-0.5345077947272727,-53.45077947272727
32148,33.7108,-117.5331,-0.11244890527272734,-11.244890527272734
32356,37.6477,-122.0979,-0.2263806831363637,-22.63806831363637
32444,32.7344,-96.695,-0.4803368483636364,-48.03368483636364
32544,32.7361,-96.6567,-0.01563365681818181,-1.563365681818181
32574,37.566,-121.9784,-0.4512978112272728,-45.12978112272728
32794,32.8717,-96.7286,-0.24513525540909098,-24.513525540909097
32908,34.7333,-120.0,-0.1825423724090909,-18.25423724090909
32978,34.5111,-119.8239,-0.4984378956818181,-49.84378956818181
33132,34.7,-120.5833,0.04922212254545459,4.922212254545459
33556,34.5889,-120.4539,-0.33857440699999997,-33.8574407
33904,34.6331,-120.4667,-0.26065827090909094,-26.065827090909092
34185,34.8939,-120.0817,-0.501502314909091,-50.1502314909091
34248,34.7719,-119.6361,-0.3255224404090909,-32.55224404090909
34638,34.6131,-120.1967,-0.15684598086363638,-15.684598086363637
34696,34.445,-119.6883,-0.2601314260909092,-26.013142609090924
34839,34.4706,-119.6756,-0.4030217838636363,-40.30217838636363
34906,34.9825,-119.6681,-0.5921588119545453,-59.215881195454536
34988,34.6975,-120.45,-0.01316664040909088,-1.316664040909088
35036,48.058,-92.8411,-0.25222883836363647,-25.222883836363646
35110,34.3121,-117.4785,-0.7294120488181816,-72.94120488181815
35112,34.1238,-116.4093,-0.5964295366363636,-59.642953663636355
35228,34.4683,-117.3932,-0.3202181628636363,-32.02181628636363
35320,34.9516,-116.8642,-0.38398399259090915,-38.398399259090915
35602,34.0442,-117.2471,-0.2423107015454546,-24.23107015454546
35908,34.159,-116.7975,-0.23138243672727257,-23.138243672727256
36016,34.0216,-117.0447,-0.7072724976818182,-70.72724976818182
36393,34.034,-117.2104,-0.21680170836363635,-21.680170836363637
37048,34.0519,-116.9527,-0.5163638438636363,-51.63638438636363
37488,34.1872,-117.3211,-0.09579528854545445,-9.579528854545446
37744,34.0233,-117.3322,-0.23294577427272722,-23.29457742727272
38052,34.222,-117.4067,-0.05033278268181815,-5.033278268181815
40014,34.1796,-117.4448,-0.5113132943181818,-51.13132943181819
40115,34.1674,-117.25,-0.22909409159090907,-22.909409159090906
