ID,Lat,Lon,RAI_avg,MRAI_avg,SRAI_avg
305811,45.9919,-92.9928,-62.03759036699594,-56.0643751541955,-124.18954558025965
305821,46.8833,-96.25,-46.87040253973435,-55.29718625125549,-96.27709831146927
306119,48.1603,-90.8842,-56.34671981465803,-46.52107036045947,-116.53776256037764
306184,47.9708,-89.6906,-28.000756416651246,-47.43455890777612,-97.84118375099425
306314,44.9908,-93.3989,-28.545991316065834,-16.489201524349003,-32.465679152204196
306464,46.7336,-95.7064,-45.55166021495561,-46.988074391130375,-98.7072250326916
306623,47.9239,-91.8586,-15.127460639470527,-15.970414252184831,-59.337570319656805
306674,46.8369,-92.1833,-50.71695777083449,-55.24817794222182,-70.5097073996588
306685,44.0419,-92.8814,-32.354464048536826,-36.61584484994881,-90.0173559713894
306768,48.2667,-92.4667,-2.7440911507984613,-13.227391457736754,-51.39831878426849
306820,45.2333,-96.1667,-49.980418467478124,-37.5074112619442,-142.34820342173248
306825,44.7183,-96.2697,-49.980418467478124,-37.5074112619442,-142.34820342173248
306839,45.5506,-93.1264,-38.94411997654487,-39.858396576158846,-103.4548693137857
307035,45.1969,-93.84,-56.226456353644686,-37.818259211751574,-129.9176357756573
307134,46.2681,-96.5914,-29.902176313448326,-32.91626757649496,-70.9426924289164
307167,47.7,-93.55,-39.00975280804758,-29.776371014381574,-78.32978559873109
307398,48.1969,-93.7994,-41.461585034473394,-53.62592164091568,-146.57340395670138
307400,43.8836,-94.1667,-41.461585034473394,-53.62592164091568,-146.57340395670138
307484,45.8686,-95.3942,-44.16290658533066,-40.4061342392306,-104.07328586690913
307497,42.2475,-83.6253,-46.60529749709671,-39.83273485268614,-83.88901239260366
307514,46.4792,-89.9322,-27.908404493851364,-21.174559341817076,-100.1383265478029
307633,43.3656,-83.5828,-8.167540354517048,-9.045674664958796,-71.09252619157357
307780,45.1703,-84.4397,-27.13739278608131,-19.318520469717804,2.647442644382402
307799,46.1989,-85.0728,-19.603851120691882,-33.658894173075865,-96.15692881841018
308058,46.1833,-86.4667,-3.8593595892033856,-0.7287727350339355,-74.30277056708618
308248,43.2908,-85.0922,-28.456049117568156,-38.088292804908704,-49.84965380449138
308290,43.7319,-83.4592,-27.02844691034635,-28.69865461611154,-80.27615172245373
308383,46.4794,-84.3572,-49.67209897262181,-65.29249401328183,-125.92710053615043
308403,42.6389,-83.2556,-40.25214867208777,-37.15350950450206,-131.75761774098237
308498,43.0161,-84.18,-69.45231755787205,-69.46717141442164,-133.86816018013096
308503,46.8561,-89.3119,-25.417172918341162,-31.065017414519776,-99.72419815769281
308586,46.3133,-85.5106,-48.59751719368552,-49.243271290621365,-103.63366983318585
308720,43.4614,-86.4175,-40.4803192661195,-32.3048479099938,-91.54775056246038
308839,42.5794,-83.6844,-37.68328268830452,-39.1826076543499,-110.58100817373922
308910,46.5456,-87.3794,-3.8593595892033856,-0.7287727350339355,-74.30277056708618
308944,43.9067,-86.3942,-23.75013811095177,-23.801482886877892,-70.03803848518581
